-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,54,57,57,55,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,224,225,-1,-1,-1,-1,69,70,73,73,71,72,-1,-1,-1,-1,-1,-1,-1,-1,224,225,-1,-1
-1,-1,-1,-1,-1,-1,240,241,-1,-1,-1,-1,69,70,73,73,71,72,-1,-1,-1,-1,-1,-1,-1,-1,240,241,-1,-1
-1,652,650,651,-1,-1,257,260,257,260,-1,732,69,70,73,73,71,72,652,-1,257,260,257,260,-1,257,260,257,260,-1
-1,668,666,667,-1,-1,274,275,274,275,-1,748,69,70,73,73,71,72,668,-1,274,275,274,275,-1,274,275,274,275,-1
-1,-1,-1,-1,-1,-1,-1,615,616,617,-1,-1,69,70,73,73,71,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,82,-1,-1,-1,-1,-1,631,632,633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,83,83,-1,83,83,83,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1187,1187,1187,-1,1187,1187,1187,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,83,83,-1,83,83,83,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,1225,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1187,1187,1187,-1,1187,1187,1187,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,1257,112,-1,1225,1226,-1,-1,-1,-1,1223,1224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,1225,112,-1,1241,1242,-1,-1,-1,-1,1239,1240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,1257,112,-1,1273,1274,-1,-1,-1,-1,1271,1272,-1,-1,83,83,83,-1,83,83,83,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,1225,112,-1,1273,1274,-1,-1,-1,-1,1271,1272,-1,-1,1187,1187,1187,-1,1187,1187,1187,-1,-1
-1,116,1187,-1,-1,-1,-1,-1,1257,112,-1,1257,1258,-1,-1,-1,-1,1255,1256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
